stage,type,winner_country,wins,flat_cobble,flat,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time_trial,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition
1,Stage with mountain,FRA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Stage with mountain,BEL,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Stage with mountain,ESP,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,Stage with mountain,NED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Stage with mountain,ESP,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Stage with mountain,NED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Team time trial,BEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Team time trial,BEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Team time trial,BEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Team time trial,BEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Team time trial,BEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Team time trial,FRA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Stage with mountain,ITA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Individual time trial,FRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Individual time trial,BEL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Individual time trial,FRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Mountain time trial,NED,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Individual time trial,BEL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Stage with mountain,NED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Stage with mountain,ESP,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Individual time trial,NED,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Individual time trial,FRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Stage with mountain,NED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,Mountain time trial,ESP,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Plain stage,NED,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Individual time trial,FRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Individual time trial,FRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Plain stage,ESP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Hilly stage,BEL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,Hilly stage,FRA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Hilly stage,ESP,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Plain stage,NED,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,Flat stage,ESP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Flat stage,FRA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Mountain stage,FRA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Mountain stage,ESP,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
