stage,date,distance,origin,destination,type,flat_cobblestone,flat,half,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition,winner,winner_country,year,country_code,stage_2
1,7/1/1903,467,Paris,Lyon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Garin,FRA,1903,11,1
2,7/5/1903,374,Lyon,Marseille,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hippolyte Aucouturier,FRA,1903,11,2
3,7/8/1903,423,Marseille,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hippolyte Aucouturier,FRA,1903,11,3
4,7/12/1903,268,Toulouse,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Charles Laeser,SUI,1903,31,4
5,7/13/1903,425,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Garin,FRA,1903,11,5
6,7/18/1903,471,Nantes,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Garin,FRA,1903,11,6
1,7/2/1904,467,Montgeron,Lyon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Garin,FRA,1904,11,1
2,7/9/1904,374,Lyon,Marseille,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hippolyte Aucouturier,FRA,1904,11,2
3,7/13/1904,424,Marseille,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hippolyte Aucouturier,FRA,1904,11,3
4,7/17/1904,268,Toulouse,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Pothier,FRA,1904,11,4
5,7/20/1904,425,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hippolyte Aucouturier,FRA,1904,11,5
6,7/23/1904,471,Nantes,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hippolyte Aucouturier,FRA,1904,11,6
1,7/9/1905,340,Paris,Nancy,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1905,11,1
2,7/11/1905,299,Nancy,Besançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hippolyte Aucouturier,FRA,1905,11,2
3,7/14/1905,327,Besançon,Grenoble,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1905,11,3
4,7/16/1905,348,Grenoble,Toulon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hippolyte Aucouturier,FRA,1905,11,4
5,7/18/1905,192,Toulon,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1905,11,5
6,7/20/1905,307,Nîmes,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean-Baptiste Dortignacq,FRA,1905,11,6
7,7/22/1905,268,Toulouse,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1905,11,7
8,7/24/1905,257,Bordeaux,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hippolyte Aucouturier,FRA,1905,11,8
9,7/26/1905,263,La Rochelle,Rennes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1905,11,9
10,7/28/1905,167,Rennes,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean-Baptiste Dortignacq,FRA,1905,11,10
11,7/29/1905,253,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean-Baptiste Dortignacq,FRA,1905,11,11
1,7/4/1906,275,Paris,Lille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Georget,FRA,1906,11,1
2,7/6/1906,400,Douai,Nancy,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,René Pottier,FRA,1906,11,2
3,7/8/1906,416,Nancy,Dijon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,René Pottier,FRA,1906,11,3
4,7/10/1906,311,Dijon,Grenoble,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,René Pottier,FRA,1906,11,4
5,7/12/1906,345,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,René Pottier,FRA,1906,11,5
6,7/14/1906,292,Nice,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Passerieu,FRA,1906,11,6
7,7/16/1906,480,Marseille,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1906,11,7
8,7/18/1906,300,Toulouse,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean-Baptiste Dortignacq,FRA,1906,11,8
9,7/20/1906,338,Bayonne,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1906,11,9
10,7/22/1906,391,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1906,11,10
11,7/24/1906,321,Nantes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1906,11,11
12,7/26/1906,415,Brest,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Passerieu,FRA,1906,11,12
13,7/29/1906,259,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,René Pottier,FRA,1906,11,13
1,7/8/1907,272,Paris,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1907,11,1
2,7/10/1907,398,Roubaix,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Georget[n 2] Louis Trousselier[n 2],FRA,1907,11,2
3,7/12/1907,259,Metz,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Emile Georget,FRA,1907,11,3
4,7/14/1907,309,Belfort,Lyon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Cadolle,FRA,1907,11,4
5,7/16/1907,311,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Emile Georget,FRA,1907,11,5
6,7/18/1907,345,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Georges Passerieu,FRA,1907,11,6
7,7/20/1907,345,Nice,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Georget,FRA,1907,11,7
8,7/22/1907,303,Nîmes,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Georget,FRA,1907,11,8
9,7/24/1907,299,Toulouse,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1907,11,9
10,7/26/1907,269,Bayonne,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1907,11,10
11,7/28/1907,391,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1907,11,11
12,7/30/1907,321,Nantes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1907,11,12
13,8/1/1907,415,Brest,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Georget,FRA,1907,11,13
14,8/4/1907,251,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Passerieu,FRA,1907,11,14
1,7/13/1908,272,Paris,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Passerieu,FRA,1908,11,1
2,7/15/1908,398,Roubaix,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1908,11,2
3,7/17/1908,259,Metz,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1908,22,3
4,7/19/1908,309,Belfort,Lyon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1908,22,4
5,7/21/1908,311,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Georges Passerieu,FRA,1908,11,5
6,7/23/1908,345,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean-Baptiste Dortignacq,FRA,1908,11,6
7,7/25/1908,354,Nice,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1908,11,7
8,7/27/1908,303,Nîmes,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1908,22,8
9,7/29/1908,299,Toulouse,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1908,11,9
10,7/31/1908,269,Bayonne,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Paulmier,FRA,1908,11,10
11,8/2/1908,391,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1908,11,11
12,8/4/1908,321,Nantes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1908,22,12
13,8/6/1908,415,Brest,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Passerieu,FRA,1908,11,13
14,8/9/1908,251,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Petit-Breton,FRA,1908,11,14
1,7/5/1909,272,Paris,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cyrille van Hauwaert,BEL,1909,3,1
2,7/7/1909,398,Roubaix,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1909,22,2
3,7/9/1909,259,Metz,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1909,22,3
4,7/11/1909,309,Belfort,Lyon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1909,22,4
5,7/13/1909,311,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1909,22,5
6,7/15/1909,346,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1909,22,6
7,7/17/1909,345,Nice,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ernest Paul,FRA,1909,11,7
8,7/19/1909,303,Nîmes,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1909,11,8
9,7/21/1909,299,Toulouse,Bayonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Constant Ménager,FRA,1909,11,9
10,7/23/1909,269,Bayonne,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1909,22,10
11,7/25/1909,391,Bordeaux,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Trousselier,FRA,1909,11,11
12,7/27/1909,321,Nantes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gustave Garrigou,FRA,1909,11,12
13,7/29/1909,424,Brest,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paul Duboc,FRA,1909,11,13
14,8/1/1909,250,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Alavoine,FRA,1909,11,14
1,7/3/1910,269,Paris,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Charles Crupelandt,FRA,1910,11,1
2,7/5/1910,398,Roubaix,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1910,22,2
3,7/7/1910,259,Metz,Belfort,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Emile Georget,FRA,1910,11,3
4,7/9/1910,309,Belfort,Lyon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,François Faber,LUX,1910,22,4
5,7/11/1910,311,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,5
6,7/13/1910,345,Grenoble,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Julien Maitron,FRA,1910,11,6
7,7/15/1910,345,Nice,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,François Faber,LUX,1910,22,7
8,7/17/1910,216,Nîmes,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Paulmier,FRA,1910,11,8
9,7/19/1910,289,Perpignan,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,9
10,7/21/1910,326,Luchon,Bayonne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Octave Lapize,FRA,1910,11,10
